time,water_temperature,salinity,turbidity,ph,oxygen,ammonia
214,2016-12-14T18:16:00Z,24.2,34.8,4.31,8.03,6.56,1.7
215,2016-12-14T18:45:00Z,23.7,33.1,14.27,7.96,6.65,6.23
216,2016-12-14T19:18:00Z,24.0,33.8,7.5,7.94,5.93,5.2
217,2016-12-14T19:35:00Z,24.9,34.4,2.72,8.08,6.95,2.05
218,2016-12-14T19:54:00Z,24.9,34.6,1.99,8.13,7.02,2.01
219,2016-12-14T20:16:00Z,24.7,34.8,4.1,8.08,6.68,4.19
220,2016-12-15T18:05:00Z,23.4,33.8,6.87,7.82,6.46,2.62
221,2016-12-15T18:25:00Z,24.8,34.4,1.52,7.85,6.08,3.16
222,2016-12-15T18:45:00Z,25.1,34.3,1.75,7.97,5.96,4.04
223,2016-12-15T19:05:00Z,25.0,34.8,3.15,7.89,6.65,1.6
224,2016-12-15T19:18:00Z,25.1,35.0,4.05,8.07,6.94,1.82
225,2016-12-15T19:30:00Z,25.3,34.9,5.17,7.97,6.77,2.91
226,2017-01-03T18:45:00Z,24.1,34.7,5.01,8.16,6.45,3.17
227,2017-01-03T19:10:00Z,23.0,29.5,3.78,8.21,7.07,3.57
228,2017-01-03T19:30:00Z,24.4,34.6,2.49,8.18,6.57,1.63
229,2017-01-03T19:55:00Z,24.9,34.5,1.42,8.21,6.66,3.18
230,2017-01-03T20:15:00Z,24.8,34.9,0.93,8.2,6.49,1.5
231,2017-01-04T18:15:00Z,23.4,34.1,5.57,8.08,6.72,2.39
232,2017-01-04T18:42:00Z,23.3,34.7,8.92,8.07,6.77,2.98
233,2017-01-04T19:03:00Z,23.7,34.6,35.3,8.05,6.22,3.64
234,2017-01-04T19:32:00Z,24.1,34.9,2.7,8.11,6.85,1.55
235,2017-01-04T19:58:00Z,24.3,35.1,5.01,8.12,6.92,1.5
236,2017-01-04T20:24:00Z,24.3,35.0,2.18,8.13,7.46,3.72
237,2017-01-05T17:00:00Z,22.8,34.8,4.83,,6.34,1.5
238,2017-01-05T17:15:00Z,23.3,34.9,7.99,,6.63,1.5
239,2017-01-05T17:30:00Z,23.6,35.2,5.83,,6.16,2.27
240,2017-01-05T17:40:00Z,22.9,35.4,12.23,,6.96,1.5
241,2017-01-05T18:00:00Z,23.7,35.4,10.1,,6.79,1.79
242,2017-01-05T18:15:00Z,24.3,35.3,8.69,,8.12,1.61
243,2017-01-24T17:38:00Z,23.5,34.3,12.07,8.14,,5.14
244,2017-01-24T18:07:00Z,23.1,30.8,6.31,8.17,7.01,6.54
245,2017-01-24T18:29:00Z,24.1,,4.08,8.16,6.46,4.49
246,2017-01-24T18:50:00Z,24.5,,0.8,8.18,6.57,7.68
247,2017-01-24T19:07:00Z,24.5,34.7,1.15,8.2,6.69,4.25
248,2017-01-25T18:22:00Z,23.8,35.2,6.31,7.87,6.16,6.27
249,2017-01-25T18:50:00Z,23.8,34.8,3.53,7.96,6.22,6.01
250,2017-01-25T19:16:00Z,24.3,34.9,1.7,8.0,6.47,7.59
251,2017-01-25T19:45:00Z,24.8,34.9,1.92,8.06,6.79,4.72
252,2017-01-25T20:07:00Z,24.6,35.1,2.06,8.04,6.79,31.67
253,2017-01-25T20:30:00Z,24.7,35.2,1.21,7.9,6.46,6.54
254,2017-01-26T17:20:00Z,22.5,35.0,3.6,7.9,6.16,4.85
255,2017-01-26T17:50:00Z,22.6,35.1,2.44,8.02,6.56,6.8
256,2017-01-26T18:12:00Z,22.6,35.0,2.85,8.05,6.27,7.38
257,2017-01-26T18:35:00Z,23.5,35.3,6.62,8.06,6.85,5.32
258,2017-01-26T18:55:00Z,23.2,35.4,4.54,8.07,6.97,4.68
259,2017-01-26T19:10:00Z,23.5,35.2,3.88,8.08,7.02,5.64
260,2017-02-14T17:52:00Z,24.2,34.9,0.84,8.15,6.8,6.65
261,2017-02-14T18:25:00Z,24.0,34.5,3.81,8.15,6.71,6.51
262,2017-02-14T18:45:00Z,24.1,34.7,6.6,8.14,6.77,6.19
263,2017-02-14T19:13:00Z,24.5,34.6,5.25,8.19,6.81,6.22
264,2017-02-14T19:38:00Z,24.7,34.3,1.47,8.19,6.75,6.74
265,2017-02-14T20:00:00Z,24.7,33.9,1.04,8.2,6.78,5.61
266,2017-02-15T18:33:00Z,24.9,33.8,4.18,8.1,6.38,7.38
267,2017-02-15T18:45:00Z,24.9,34.1,10.7,8.07,6.2,7.81
268,2017-02-15T19:03:00Z,24.9,34.4,8.65,8.07,5.93,7.93
269,2017-02-15T19:30:00Z,25.1,34.9,3.12,8.19,6.86,6.83
270,2017-02-15T19:47:00Z,25.2,34.9,5.91,8.13,6.79,6.51
271,2017-02-15T20:11:00Z,25.1,34.9,4.16,8.1,6.59,7.22
272,2017-02-17T17:12:00Z,24.8,35.1,2.94,8.02,5.9,5.64
273,2017-02-17T17:40:00Z,25.6,35.1,2.63,8.08,6.18,8.75
274,2017-02-17T18:00:00Z,25.6,35.1,2.14,8.05,5.63,8.67
275,2017-02-17T18:25:00Z,25.3,35.2,2.77,8.11,6.46,8.73
276,2017-02-17T18:50:00Z,25.6,35.3,14.17,8.13,6.83,7.29
277,2017-02-17T19:14:00Z,25.5,35.1,3.7,8.15,6.73,8.03
278,2017-03-07T17:40:00Z,24.2,34.5,1.8,8.16,6.75,15.98
279,2017-03-07T18:03:00Z,24.2,32.8,9.51,8.14,6.81,7.05
280,2017-03-07T18:25:00Z,24.3,34.6,8.4,8.15,6.82,5.96
281,2017-03-07T18:45:00Z,24.5,34.2,7.2,8.15,6.7,6.23
282,2017-03-07T19:04:00Z,24.9,33.7,3.84,8.17,6.69,7.36
283,2017-03-07T19:25:00Z,24.9,32.9,2.11,8.19,6.79,5.24
284,2017-03-08T18:30:00Z,24.5,34.0,1.81,8.1,6.33,7.35
285,2017-03-08T18:59:00Z,24.6,33.9,7.56,8.1,6.13,6.65
286,2017-03-08T19:24:00Z,24.6,34.2,3.03,8.11,6.42,7.32
287,2017-03-08T19:54:00Z,25.2,34.5,2.18,8.2,6.93,6.55
288,2017-03-08T20:24:00Z,25.7,34.5,1.68,8.21,7.07,6.08
289,2017-03-08T21:00:00Z,26.0,34.5,1.67,8.13,7.35,8.93
290,2017-03-09T17:30:00Z,24.5,34.3,2.23,8.05,5.97,5.43
291,2017-03-09T17:50:00Z,25.4,34.5,4.6,8.09,6.26,7.69
292,2017-03-09T18:05:00Z,25.4,34.4,2.38,8.06,5.83,7.27
293,2017-03-09T18:15:00Z,24.7,34.5,15.43,8.11,6.76,5.92
294,2017-03-09T18:30:00Z,25.2,34.9,9.09,8.15,6.91,6.13
295,2017-03-09T18:45:00Z,25.4,34.5,6.89,8.14,6.78,5.77
296,2017-03-28T17:41:00Z,24.4,34.4,0.84,8.11,6.75,9.0
297,2017-03-28T18:06:00Z,24.4,33.4,3.33,8.12,6.62,7.49
298,2017-03-28T18:28:00Z,24.6,34.4,5.24,8.11,6.62,7.96
299,2017-03-28T18:43:00Z,25.4,34.0,1.88,8.18,6.71,6.92
300,2017-03-28T19:02:00Z,25.6,33.3,2.17,8.18,6.76,7.49
301,2017-03-28T19:21:00Z,25.4,32.9,0.63,8.19,6.77,6.85
302,2017-03-29T18:21:00Z,25.4,33.1,11.33,8.07,6.23,10.74
303,2017-03-29T18:50:00Z,26.0,33.4,7.19,8.06,5.72,11.43
304,2017-03-29T19:10:00Z,26.3,33.1,7.53,8.07,5.93,20.31
305,2017-03-29T19:36:00Z,26.2,33.9,2.5,8.18,6.78,16.26
306,2017-03-29T20:10:00Z,27.3,34.3,3.99,8.16,6.7,13.34
307,2017-03-29T20:36:00Z,26.8,34.0,2.18,8.13,6.95,14.6
308,2017-03-30T17:20:00Z,25.0,34.0,5.6,8.02,6.0,6.67
309,2017-03-30T17:42:00Z,26.0,34.5,7.74,8.08,6.41,8.65
310,2017-03-30T18:05:00Z,25.9,34.2,6.34,8.03,6.27,5.75
311,2017-03-30T18:30:00Z,25.7,34.3,7.85,8.11,6.73,8.89
312,2017-03-30T19:00:00Z,26.2,34.3,5.91,8.14,6.92,8.29
313,2017-03-30T19:20:00Z,26.5,34.4,3.96,8.13,6.79,6.91
314,2017-04-18T17:48:00Z,24.8,34.0,1.0,8.15,6.84,6.27
315,2017-04-18T18:12:00Z,24.8,31.8,3.24,8.17,6.59,3.88
316,2017-04-18T18:34:00Z,24.1,24.4,2.59,8.22,7.26,7.74
317,2017-04-18T18:53:00Z,26.1,33.5,0.96,8.16,6.53,3.88
318,2017-04-18T19:10:00Z,26.1,33.1,1.02,8.16,6.6,4.93
319,2017-04-18T19:26:00Z,25.9,33.0,0.92,8.18,6.57,2.46
320,2017-04-19T18:18:00Z,25.8,32.7,2.18,8.12,6.44,3.86
321,2017-04-19T18:45:00Z,25.9,33.7,9.15,8.11,6.43,2.74
322,2017-04-19T19:06:00Z,26.2,33.0,11.37,8.1,6.24,6.27
323,2017-04-19T19:30:00Z,26.1,34.1,1.64,8.18,6.63,3.55
324,2017-04-19T20:00:00Z,26.7,34.4,2.53,8.18,6.74,2.37
325,2017-04-19T20:25:00Z,27.0,34.3,1.5,8.15,6.97,7.88
326,2017-04-20T17:15:00Z,25.7,33.9,1.61,8.04,5.82,4.19
327,2017-04-20T17:30:00Z,27.1,34.3,13.33,8.09,6.16,4.66
328,2017-04-20T17:50:00Z,26.3,33.9,12.6,8.02,6.19,5.56
329,2017-04-20T18:05:00Z,25.9,34.3,7.0,8.1,6.54,2.75
330,2017-04-20T18:20:00Z,26.0,34.2,4.08,8.09,6.6,3.28
331,2017-04-20T18:40:00Z,26.7,34.6,5.31,8.11,6.5,3.37
332,2017-05-09T17:35:00Z,25.3,33.2,0.75,8.12,7.2,5.1
333,2017-05-09T18:00:00Z,25.4,32.3,2.06,8.16,6.78,4.94
334,2017-05-09T18:22:00Z,25.5,34.0,2.59,8.14,6.88,7.68
335,2017-05-09T18:45:00Z,26.1,33.6,1.48,8.2,6.96,5.99
336,2017-05-09T19:02:00Z,26.2,32.3,2.5,8.19,6.92,5.01
337,2017-05-09T19:20:00Z,26.0,33.0,0.78,8.21,6.86,4.87
338,2017-05-10T18:17:00Z,25.5,34.2,2.24,8.14,6.46,1.92
339,2017-05-10T18:40:00Z,25.8,33.9,2.0,8.14,6.24,2.56
340,2017-05-10T18:59:00Z,25.9,34.7,1.57,8.14,6.33,4.9
